,cv,cf,tth,thq,thw,tot
72,1.5,-1.333,0.38644032174,0.704468414064,0.126015202908,1.21692393871
73,1.5,-1.25,0.34486623534,0.677471632392,0.120073824612,1.14241169234
74,1.5,-1.0,0.22974261849,0.594752169576,0.102199895385,0.926694683451
75,1.5,-0.833,0.16309766022,0.539035491648,0.090452683545,0.792585835413
76,1.5,-0.75,0.13355310144,0.511441368696,0.084727987659,0.729722457795
77,1.5,-0.667,0.10660144638,0.484023957432,0.079104575697,0.669729979509
78,1.5,-0.5,0.0608565639,0.429744985872,0.068176092747,0.558777642519
79,1.5,-0.333,0.02731539789,0.377251587888,0.057893891895,0.462460877673
80,1.5,-0.25,0.01546644858,0.352049789088,0.053071605426,0.420587843094
81,1.5,-0.167,0.00691674258,0.32754972792,0.048463931481,0.382930401981
82,1.5,0.0,0.0,0.28071431844,0.039907954674,0.320622273114
83,1.5,0.167,0.00694427811,0.237675964368,0.032402725992,0.27702296847
84,1.5,0.25,0.01554586044,0.217863861408,0.029093174964,0.262502896812
85,1.5,0.333,0.02749278147,0.199177531752,0.026074386723,0.252744699945
86,1.5,0.5,0.0614681265,0.165172783056,0.020909847882,0.247550757438
87,1.5,0.667,0.10802949069,0.136200006648,0.016981967583,0.261211464921
88,1.5,0.75,0.13554980769,0.123728325408,0.015491822934,0.274769956032
89,1.5,0.833,0.16578853566,0.112546313784,0.014305431714,0.292640281158
90,1.5,1.0,0.23420094027,0.093958377264,0.01282027446,0.340979591994
91,1.5,1.25,0.35292669126,0.075665705304,0.012739136802,0.441331533366
92,1.5,1.333,0.39594099237,0.072018389688,0.013241969244,0.481201351302
93,1.5,1.5,0.486816,0.0681216,0.0149856,0.5699232
94,1.5,2.0,0.78078805662,0.080562903264,0.025102509684,0.886453469568
95,1.5,2.5,1.08257274939,0.120352708536,0.040316560473,1.2432420184
96,1.5,3.0,1.36931619693,0.176666727744,0.058079703969,1.60406262864
97,1.5,4.0,1.85645942856,0.307066265304,0.094463771388,2.25798946525
98,1.5,6.0,1.85645942856,0.307066265304,0.094463771388,2.25798946525
