cv,ct,ttHww,ttHzz,ttHtt,ttHbb,tHqww,tHqzz,tHqtt,tHqbb,tHWww,tHWzz,tHWtt,tHWbb
1.0,-0.5,0.2624,0.2624,0.0656,0.2624,7.1807,7.1807,1.7952,7.1807,5.4076,5.4076,1.3519,5.4076
1.0,-0.333,0.1175,0.1175,0.0130,0.1175,5.9375,5.9375,0.6584,5.9375,4.2814,4.2814,0.4748,4.2814
1.0,-0.25,0.0664,0.0664,0.0042,0.0664,5.3616,5.3616,0.3351,5.3616,3.7730,3.7730,0.2358,3.7730
1.0,-0.167,0.0297,0.0297,0.0008,0.0297,4.8163,4.8163,0.1343,4.8163,3.3009,3.3009,0.0921,3.3009
1.0,0.0,0.0000,0.0000,0.0000,0.0000,3.8183,3.8183,0.0000,3.8183,2.4676,2.4676,0.0000,2.4676
1.0,0.167,0.0297,0.0297,0.0008,0.0297,2.9624,2.9624,0.0826,2.9624,1.7981,1.7981,0.0501,1.7981
1.0,0.25,0.0664,0.0664,0.0042,0.0664,2.5928,2.5928,0.1620,2.5928,1.5284,1.5284,0.0955,1.5284
1.0,0.333,0.1175,0.1175,0.0130,0.1175,2.2612,2.2612,0.2507,2.2612,1.3014,1.3014,0.1443,1.3014
1.0,0.5,0.2624,0.2624,0.0656,0.2624,1.7115,1.7115,0.4279,1.7115,0.9742,0.9742,0.2435,0.9742
1.0,0.667,0.4610,0.4610,0.2051,0.4610,1.3198,1.3198,0.5871,1.3198,0.8188,0.8188,0.3643,0.8188
1.0,0.75,0.5784,0.5784,0.3254,0.5784,1.1834,1.1834,0.6657,1.1834,0.8042,0.8042,0.4524,0.8042
1.0,0.833,0.7075,0.7075,0.4909,0.7075,1.0852,1.0852,0.7530,1.0852,0.8301,0.8301,0.5760,0.8301
1.0,1.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0,1.25,1.5091,1.5091,2.3579,1.5091,1.1380,1.1380,1.7782,1.1380,1.5278,1.5278,2.3872,1.5278
1.0,1.333,1.6941,1.6941,3.0102,1.6941,1.2492,1.2492,2.2197,1.2492,1.7691,1.7691,3.1434,1.7691
1.0,1.5,2.0859,2.0859,4.6933,2.0859,1.5628,1.5628,3.5163,1.5628,2.3434,2.3434,5.2727,2.3434
1.0,2.0,3.3647,3.3647,13.4590,3.3647,3.1023,3.1023,12.4092,3.1023,4.6362,4.6362,18.5449,4.6362
1.0,2.5,4.6979,4.6979,29.3616,4.6979,5.2667,5.2667,32.9167,5.2667,7.4799,7.4799,46.7493,7.4799
1.0,3.0,5.9862,5.9862,53.8759,5.9862,7.7435,7.7435,69.6914,7.7435,10.5403,10.5403,94.8625,10.5403
1.0,4.0,8.2305,8.2305,131.6886,8.2305,12.7892,12.7892,204.6276,12.7892,16.4642,16.4642,263.4266,16.4642
1.0,6.0,11.2408,11.2408,404.6686,11.2408,20.9516,20.9516,754.2573,20.9516,25.5403,25.5403,919.4497,25.5403
1.5,-6.0,23.1266,23.1266,370.0260,10.2785,96.1923,96.1923,1539.0768,42.7521,95.1080,95.1080,1521.7272,42.2702
1.5,-4.0,16.0441,16.0441,114.0913,7.1307,81.6690,81.6690,580.7570,36.2973,77.3512,77.3512,550.0531,34.3783
1.5,-3.0,11.2295,11.2295,44.9178,4.9909,68.8703,68.8703,275.4812,30.6090,62.9086,62.9086,251.6344,27.9594
1.5,-2.5,8.6261,8.6261,23.9614,3.8338,60.7939,60.7939,168.8720,27.0195,54.1622,54.1622,150.4505,24.0721
1.5,-2.0,6.0458,6.0458,10.7481,2.6870,51.7152,51.7152,91.9381,22.9845,44.6227,44.6227,79.3293,19.8323
1.5,-1.5,3.6725,3.6725,3.6725,1.6322,41.9469,41.9469,41.9469,18.6431,34.6991,34.6991,34.6991,15.4218
1.5,-1.333,2.9643,2.9643,2.3410,1.3175,38.6171,38.6171,30.4971,17.1632,31.4016,31.4016,24.7987,13.9563
1.5,-1.25,2.6330,2.6330,1.8284,1.1702,36.9629,36.9629,25.6687,16.4280,29.7807,29.7807,20.6810,13.2359
1.5,-1.0,1.7310,1.7310,0.7693,0.7693,32.0233,32.0233,14.2326,14.2326,25.0144,25.0144,11.1175,11.1175
1.5,-0.833,1.2192,1.2192,0.3760,0.5419,28.7953,28.7953,8.8803,12.7979,21.9653,21.9653,6.7740,9.7624
1.5,-0.75,0.9948,0.9948,0.2487,0.4421,27.2234,27.2234,6.8058,12.0993,20.5014,20.5014,5.1254,9.1117
1.5,-0.667,0.7914,0.7914,0.1565,0.3517,25.6778,25.6778,5.0772,11.4123,19.0767,19.0767,3.7720,8.4785
1.5,-0.5,0.4491,0.4491,0.0499,0.1996,22.6628,22.6628,2.5181,10.0724,16.3435,16.3435,1.8159,7.2638
1.5,-0.333,0.2006,0.2006,0.0099,0.0891,19.7986,19.7986,0.9758,8.7994,13.8117,13.8117,0.6807,6.1385
1.5,-0.25,0.1133,0.1133,0.0031,0.0504,18.4397,18.4397,0.5122,8.1954,12.6364,12.6364,0.3510,5.6162
1.5,-0.167,0.0507,0.0507,0.0006,0.0225,17.1281,17.1281,0.2123,7.6125,11.5203,11.5203,0.1428,5.1201
1.5,0.0,0.0000,0.0000,0.0000,0.0000,14.6443,14.6443,0.0000,6.5086,9.4640,9.4640,0.0000,4.2062
1.5,0.167,0.0507,0.0507,0.0006,0.0225,12.3858,12.3858,0.1535,5.5048,7.6760,7.6760,0.0951,3.4115
1.5,0.25,0.1133,0.1133,0.0031,0.0504,11.3529,11.3529,0.3154,5.0457,6.8916,6.8916,0.1914,3.0629
1.5,0.333,0.2006,0.2006,0.0099,0.0891,10.3820,10.3820,0.5117,4.6142,6.1783,6.1783,0.3045,2.7459
1.5,0.5,0.4491,0.4491,0.0499,0.1996,8.6227,8.6227,0.9581,3.8323,4.9621,4.9621,0.5513,2.2054
1.5,0.667,0.7914,0.7914,0.1565,0.3517,7.1299,7.1299,1.4098,3.1689,4.0411,4.0411,0.7990,1.7961
1.5,0.75,0.9948,0.9948,0.2487,0.4421,6.4888,6.4888,1.6222,2.8839,3.6932,3.6932,0.9233,1.6414
1.5,0.833,1.2192,1.2192,0.3760,0.5419,5.9148,5.9148,1.8241,2.6288,3.4176,3.4176,1.0540,1.5189
1.5,1.0,1.7310,1.7310,0.7693,0.7693,4.9627,4.9627,2.2057,2.2057,3.0782,3.0782,1.3681,1.3681
1.5,1.25,2.6330,2.6330,1.8284,1.1702,4.0340,4.0340,2.8014,1.7929,3.0873,3.0873,2.1440,1.3722
1.5,1.333,2.9643,2.9643,2.3410,1.3175,3.8531,3.8531,3.0429,1.7125,3.2206,3.2206,2.5434,1.4314
1.5,1.5,3.6725,3.6725,3.6725,1.6322,3.6725,3.6725,3.6725,1.6322,3.6725,3.6725,3.6725,1.6322
1.5,2.0,6.0458,6.0458,10.7481,2.6870,4.4580,4.4580,7.9254,1.9813,6.3144,6.3144,11.2255,2.8064
1.5,2.5,8.6261,8.6261,23.9614,3.8338,6.8533,6.8533,19.0368,3.0459,10.4359,10.4359,28.9887,4.6382
1.5,3.0,11.2295,11.2295,44.9178,4.9909,10.3536,10.3536,41.4143,4.6016,15.4728,15.4728,61.8913,6.8768
1.5,4.0,16.0441,16.0441,114.0913,7.1307,18.9646,18.9646,134.8595,8.4287,26.5208,26.5208,188.5926,11.7870
1.5,6.0,23.1266,23.1266,370.0260,10.2785,35.9359,35.9359,574.9741,15.9715,46.2619,46.2619,740.1909,20.5609
