cv,ct,hww,hzz,htt,hmm,hbb,hcc,hgg,hzg,hgluglu,hinv
0.5,-6.0,0.0398,0.0398,5.7259,5.7259,0.1591,0.1591,0.7813,0.1241,6.4828,0.0000
0.5,-4.0,0.0785,0.0785,5.0264,5.0264,0.3141,0.3141,0.8959,0.1841,5.7444,0.0000
0.5,-3.0,0.1194,0.1194,4.2990,4.2990,0.4777,0.4777,0.9699,0.2386,4.9595,0.0000
0.5,-2.5,0.1502,0.1502,3.7554,3.7554,0.6009,0.6009,1.0046,0.2756,4.3654,0.0000
0.5,-2.0,0.1905,0.1905,3.0487,3.0487,0.7622,0.7622,1.0276,0.3199,3.5845,0.0000
0.5,-1.5,0.2411,0.2411,2.1699,2.1699,0.9644,0.9644,1.0216,0.3689,2.6007,0.0000
0.5,-1.333,0.2598,0.2598,1.8468,1.8468,1.0393,1.0393,1.0088,0.3850,2.2348,0.0000
0.5,-1.25,0.2693,0.2693,1.6833,1.6833,1.0773,1.0773,0.9997,0.3927,2.0489,0.0000
0.5,-1.0,0.2980,0.2980,1.1922,1.1922,1.1922,1.1922,0.9600,0.4136,1.4853,0.0000
0.5,-0.833,0.3165,0.3165,0.8786,0.8786,1.2662,1.2662,0.9219,0.4248,1.1207,0.0000
0.5,-0.75,0.3253,0.3253,0.7318,0.7318,1.3010,1.3010,0.8993,0.4291,0.9483,0.0000
0.5,-0.667,0.3335,0.3335,0.5935,0.5935,1.3340,1.3340,0.8742,0.4326,0.7844,0.0000
0.5,-0.5,0.3483,0.3483,0.3483,0.3483,1.3932,1.3932,0.8163,0.4363,0.4889,0.0000
0.5,-0.333,0.3600,0.3600,0.1597,0.1597,1.4399,1.4399,0.7493,0.4352,0.2531,0.0000
0.5,-0.25,0.3644,0.3644,0.0911,0.0911,1.4575,1.4575,0.7131,0.4327,0.1629,0.0000
0.5,-0.167,0.3677,0.3677,0.0410,0.0410,1.4708,1.4708,0.6753,0.4289,0.0928,0.0000
0.5,0.0,0.3711,0.3711,0.0000,0.0000,1.4842,1.4842,0.5957,0.4172,0.0172,0.0000
0.5,0.167,0.3697,0.3697,0.0412,0.0412,1.4788,1.4788,0.5139,0.4004,0.0326,0.0000
0.5,0.25,0.3673,0.3673,0.0918,0.0918,1.4692,1.4692,0.4733,0.3904,0.0739,0.0000
0.5,0.333,0.3638,0.3638,0.1614,0.1614,1.4552,1.4552,0.4334,0.3793,0.1366,0.0000
0.5,0.5,0.3537,0.3537,0.3537,0.3537,1.4148,1.4148,0.3561,0.3548,0.3225,0.0000
0.5,0.667,0.3401,0.3401,0.6053,0.6053,1.3605,1.3605,0.2849,0.3279,0.5768,0.0000
