cv,ct,hww,hzz,htt,hmm,hbb,hcc,hgg,hzg,hgluglu,hinv
1.0,0.833,1.0266,1.0266,1.0266,1.0266,1.0266,1.0266,1.1204,1.0469,0.6984,0.0000
1.0,1.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
1.0,1.25,0.9539,0.9539,0.9539,0.9539,0.9539,0.9539,0.8306,0.9260,1.5209,0.0000
1.0,1.333,0.9373,0.9373,0.9373,0.9373,0.9373,0.9373,0.7778,0.9009,1.7082,0.0000
1.0,1.5,0.9025,0.9025,0.9025,0.9025,0.9025,0.9025,0.6773,0.8501,2.1007,0.0000
1.0,2.0,0.7926,0.7926,0.7926,0.7926,0.7926,0.7926,0.4254,0.7019,3.3376,0.0000
1.0,2.5,0.6845,0.6845,0.6845,0.6845,0.6845,0.6845,0.2455,0.5689,4.5519,0.0000
1.0,3.0,0.5862,0.5862,0.5862,0.5862,0.5862,0.5862,0.1269,0.4562,5.6541,0.0000
1.0,4.0,0.4288,0.4288,0.4288,0.4288,0.4288,0.4288,0.0168,0.2906,7.4183,0.0000
1.0,6.0,0.2420,0.2420,0.2420,0.2420,0.2420,0.2420,0.0275,0.1205,9.5063,0.0000
1.5,-6.0,0.4907,0.4907,0.2181,0.2181,0.2181,0.2181,2.6741,0.8215,8.8885,0.0000
1.5,-4.0,0.8222,0.8222,0.3654,0.3654,0.3654,0.3654,3.2169,1.2146,6.6817,0.0000
1.5,-3.0,1.0788,1.0788,0.4794,0.4794,0.4794,0.4794,3.4944,1.4923,4.9780,0.0000
1.5,-2.5,1.2304,1.2304,0.5468,0.5468,0.5468,0.5468,3.6007,1.6458,3.9729,0.0000
1.5,-2.0,1.3913,1.3913,0.6184,0.6184,0.6184,0.6184,3.6584,1.7984,2.9082,0.0000
1.5,-1.5,1.5504,1.5504,0.6891,0.6891,0.6891,0.6891,3.6408,1.9353,1.8581,0.0000
1.5,-1.333,1.6003,1.6003,0.7112,0.7112,0.7112,0.7112,3.6134,1.9742,1.5293,0.0000
1.5,-1.25,1.6241,1.6241,0.7218,0.7218,0.7218,0.7218,3.5953,1.9919,1.3727,0.0000
1.5,-1.0,1.6905,1.6905,0.7513,0.7513,0.7513,0.7513,3.5216,2.0368,0.9361,0.0000
1.5,-0.833,1.7295,1.7295,0.7687,0.7687,0.7687,0.7687,3.4558,2.0589,0.6804,0.0000
1.5,-0.75,1.7470,1.7470,0.7765,0.7765,0.7765,0.7765,3.4180,2.0674,0.5660,0.0000
1.5,-0.667,1.7631,1.7631,0.7836,0.7836,0.7836,0.7836,3.3770,2.0740,0.4608,0.0000
1.5,-0.5,1.7910,1.7910,0.7960,0.7960,0.7960,0.7960,3.2845,2.0814,0.2793,0.0000
1.5,-0.333,1.8124,1.8124,0.8055,0.8055,0.8055,0.8055,3.1791,2.0807,0.1416,0.0000
1.5,-0.25,1.8204,1.8204,0.8091,0.8091,0.8091,0.8091,3.1222,2.0772,0.0904,0.0000
1.5,-0.167,1.8266,1.8266,0.8118,0.8118,0.8118,0.8118,3.0625,2.0716,0.0512,0.0000
1.5,0.0,1.8336,1.8336,0.8149,0.8149,0.8149,0.8149,2.9344,2.0539,0.0094,0.0000
1.5,0.167,1.8329,1.8329,0.8146,0.8146,0.8146,0.8146,2.7969,2.0278,0.0179,0.0000
1.5,0.25,1.8298,1.8298,0.8132,0.8132,0.8132,0.8132,2.7257,2.0118,0.0409,0.0000
1.5,0.333,1.8248,1.8248,0.8110,0.8110,0.8110,0.8110,2.6527,1.9939,0.0761,0.0000
1.5,0.5,1.8093,1.8093,0.8041,0.8041,0.8041,0.8041,2.5019,1.9522,0.1833,0.0000
1.5,0.667,1.7868,1.7868,0.7941,0.7941,0.7941,0.7941,2.3473,1.9037,0.3367,0.0000
1.5,0.75,1.7732,1.7732,0.7881,0.7881,0.7881,0.7881,2.2697,1.8772,0.4291,0.0000
1.5,0.833,1.7580,1.7580,0.7813,0.7813,0.7813,0.7813,2.1918,1.8494,0.5316,0.0000
1.5,1.0,1.7233,1.7233,0.7659,0.7659,0.7659,0.7659,2.0355,1.7898,0.7659,0.0000
1.5,1.25,1.6620,1.6620,0.7387,0.7387,0.7387,0.7387,1.8054,1.6931,1.1778,0.0000
1.5,1.333,1.6396,1.6396,0.7287,0.7287,0.7287,0.7287,1.7309,1.6595,1.3281,0.0000
1.5,1.5,1.5920,1.5920,0.7076,0.7076,0.7076,0.7076,1.5847,1.5904,1.6470,0.0000
1.5,2.0,1.4363,1.4363,0.6384,0.6384,0.6384,0.6384,1.1857,1.3790,2.6882,0.0000
1.5,2.5,1.2745,1.2745,0.5665,0.5665,0.5665,0.5665,0.8558,1.1751,3.7671,0.0000
1.5,3.0,1.1195,1.1195,0.4976,0.4976,0.4976,0.4976,0.5971,0.9904,4.7991,0.0000
1.5,4.0,0.8538,0.8538,0.3794,0.3794,0.3794,0.3794,0.2602,0.6936,6.5652,0.0000
1.5,6.0,0.5075,0.5075,0.2255,0.2255,0.2255,0.2255,0.0194,0.3436,8.8602,0.0000
