cv,ct,hww,hzz,htt,hmm,hbb,hcc,hgg,hzg,hgluglu,hinv
0.5,-6.0,0.0612,0.0612,0.2448,0.2448,0.2448,0.2448,1.2298,0.1911,9.9781,0.0000
0.5,-4.0,0.1116,0.1116,0.4466,0.4466,0.4466,0.4466,1.3006,0.2619,8.1655,0.0000
0.5,-3.0,0.1572,0.1572,0.6289,0.6289,0.6289,0.6289,1.3026,0.3143,6.5295,0.0000
0.5,-2.5,0.1874,0.1874,0.7497,0.7497,0.7497,0.7497,1.2778,0.3441,5.4464,0.0000
0.5,-2.0,0.2226,0.2226,0.8902,0.8902,0.8902,0.8902,1.2225,0.3738,4.1868,0.0000
0.5,-1.5,0.2609,0.2609,1.0435,1.0435,1.0435,1.0435,1.1248,0.3993,2.8140,0.0000
0.5,-1.333,0.2737,0.2737,1.0949,1.0949,1.0949,1.0949,1.0808,0.4057,2.3544,0.0000
0.5,-1.25,0.2800,0.2800,1.1200,1.1200,1.1200,1.1200,1.0568,0.4084,2.1300,0.0000
0.5,-1.0,0.2980,0.2980,1.1921,1.1921,1.1921,1.1921,0.9753,0.4137,1.4853,0.0000
0.5,-0.833,0.3090,0.3090,1.2360,1.2360,1.2360,1.2360,0.9138,0.4148,1.0940,0.0000
0.5,-0.75,0.3140,0.3140,1.2560,1.2560,1.2560,1.2560,0.8813,0.4144,0.9155,0.0000
0.5,-0.667,0.3186,0.3186,1.2746,1.2746,1.2746,1.2746,0.8476,0.4134,0.7495,0.0000
0.5,-0.5,0.3268,0.3268,1.3072,1.3072,1.3072,1.3072,0.7767,0.4095,0.4587,0.0000
0.5,-0.333,0.3331,0.3331,1.3325,1.3325,1.3325,1.3325,0.7027,0.4028,0.2342,0.0000
0.5,-0.25,0.3355,0.3355,1.3420,1.3420,1.3420,1.3420,0.6651,0.3985,0.1500,0.0000
0.5,-0.167,0.3373,0.3373,1.3494,1.3494,1.3494,1.3494,0.6273,0.3936,0.0851,0.0000
0.5,0.0,0.3394,0.3394,1.3574,1.3574,1.3574,1.3574,0.5511,0.3816,0.0157,0.0000
0.5,0.167,0.3390,0.3390,1.3561,1.3561,1.3561,1.3561,0.4761,0.3672,0.0299,0.0000
0.5,0.25,0.3380,0.3380,1.3520,1.3520,1.3520,1.3520,0.4397,0.3593,0.0680,0.0000
0.5,0.333,0.3364,0.3364,1.3456,1.3456,1.3456,1.3456,0.4043,0.3508,0.1263,0.0000
0.5,0.5,0.3316,0.3316,1.3262,1.3262,1.3262,1.3262,0.3362,0.3326,0.3023,0.0000
0.5,0.667,0.3247,0.3247,1.2987,1.2987,1.2987,1.2987,0.2734,0.3130,0.5507,0.0000
0.5,0.75,0.3206,0.3206,1.2824,1.2824,1.2824,1.2824,0.2445,0.3030,0.6983,0.0000
0.5,0.833,0.3161,0.3161,1.2644,1.2644,1.2644,1.2644,0.2172,0.2927,0.8602,0.0000
0.5,1.0,0.3060,0.3060,1.2241,1.2241,1.2241,1.2241,0.1674,0.2719,1.2241,0.0000
0.5,1.25,0.2888,0.2888,1.1554,1.1554,1.1554,1.1554,0.1061,0.2409,1.8422,0.0000
0.5,1.333,0.2828,0.2828,1.1310,1.1310,1.1310,1.1310,0.0892,0.2308,2.0613,0.0000
0.5,1.5,0.2701,0.2701,1.0805,1.0805,1.0805,1.0805,0.0603,0.2110,2.5153,0.0000
0.5,2.0,0.2316,0.2316,0.9263,0.9263,0.9263,0.9263,0.0097,0.1576,3.9009,0.0000
0.5,2.5,0.1954,0.1954,0.7817,0.7817,0.7817,0.7817,0.0008,0.1147,5.1986,0.0000
0.5,3.0,0.1640,0.1640,0.6559,0.6559,0.6559,0.6559,0.0179,0.0820,6.3267,0.0000
0.5,4.0,0.1162,0.1162,0.4647,0.4647,0.4647,0.4647,0.0869,0.0403,8.0404,0.0000
0.5,6.0,0.0632,0.0632,0.2529,0.2529,0.2529,0.2529,0.2366,0.0079,9.9361,0.0000
1.0,-6.0,0.2340,0.2340,0.2340,0.2340,0.2340,0.2340,1.9293,0.4667,9.5366,0.0000
1.0,-4.0,0.4121,0.4121,0.4121,0.4121,0.4121,0.4121,2.2503,0.6905,7.5351,0.0000
1.0,-3.0,0.5629,0.5629,0.5629,0.5629,0.5629,0.5629,2.4105,0.8593,5.8441,0.0000
1.0,-2.5,0.6579,0.6579,0.6579,0.6579,0.6579,0.6579,2.4653,0.9571,4.7797,0.0000
1.0,-2.0,0.7640,0.7640,0.7640,0.7640,0.7640,0.7640,2.4811,1.0578,3.5930,0.0000
1.0,-1.5,0.8745,0.8745,0.8745,0.8745,0.8745,0.8745,2.4344,1.1510,2.3583,0.0000
1.0,-1.333,0.9104,0.9104,0.9104,0.9104,0.9104,0.9104,2.4005,1.1778,1.9577,0.0000
1.0,-1.25,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,2.3798,1.1900,1.7645,0.0000
1.0,-1.0,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,2.3011,1.2207,1.2172,0.0000
1.0,-0.833,1.0063,1.0063,1.0063,1.0063,1.0063,1.0063,2.2344,1.2353,0.8908,0.0000
1.0,-0.75,1.0196,1.0196,1.0196,1.0196,1.0196,1.0196,2.1970,1.2406,0.7432,0.0000
1.0,-0.667,1.0319,1.0319,1.0319,1.0319,1.0319,1.0319,2.1568,1.2445,0.6068,0.0000
1.0,-0.5,1.0534,1.0534,1.0534,1.0534,1.0534,1.0534,2.0678,1.2477,0.3696,0.0000
1.0,-0.333,1.0699,1.0699,1.0699,1.0699,1.0699,1.0699,1.9684,1.2445,0.1880,0.0000
1.0,-0.25,1.0761,1.0761,1.0761,1.0761,1.0761,1.0761,1.9156,1.2404,0.1203,0.0000
1.0,-0.167,1.0809,1.0809,1.0809,1.0809,1.0809,1.0809,1.8607,1.2346,0.0682,0.0000
1.0,0.0,1.0862,1.0862,1.0862,1.0862,1.0862,1.0862,1.7447,1.2179,0.0126,0.0000
1.0,0.167,1.0856,1.0856,1.0856,1.0856,1.0856,1.0856,1.6229,1.1947,0.0239,0.0000
1.0,0.25,1.0830,1.0830,1.0830,1.0830,1.0830,1.0830,1.5609,1.1808,0.0545,0.0000
1.0,0.333,1.0790,1.0790,1.0790,1.0790,1.0790,1.0790,1.4981,1.1654,0.1013,0.0000
1.0,0.5,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.3709,1.1304,0.2431,0.0000
1.0,0.667,1.0490,1.0490,1.0490,1.0490,1.0490,1.0490,1.2441,1.0905,0.4448,0.0000
1.0,0.75,1.0384,1.0384,1.0384,1.0384,1.0384,1.0384,1.1818,1.0692,0.5654,0.0000
