,cv,cf,tth,tthww,tthzz,tthtt,thq,thqww,thqzz,thqtt,thw,thwww,thwzz,thwtt,tot
36,1.0,-2.5,1.08556256028,0.36656768126,0.04453626034,0.67445861868,0.803562414888,0.27134103464,0.03296666776,0.499254712488,0.166133363403,0.056098690382,0.006815728738,0.103218944283,2.05525833857
37,1.0,-2.0,0.66636499842,0.28984446546,0.03521474814,0.34130578482,0.571875169392,0.248742062832,0.030220998288,0.292912108272,0.114913027488,0.049982495696,0.006072639664,0.058857892128,1.3531531953
38,1.0,-1.5,0.35641411938,0.19979506734,0.02427416706,0.13234488498,0.383896339056,0.215203500048,0.026146219632,0.142546619376,0.074121217443,0.041550638682,0.005048208438,0.027522370323,0.814431675879
39,1.0,-1.333,0.27643268466,0.16808569866,0.02042162694,0.08792535906,0.330959788776,0.201240487968,0.024449778912,0.105269521896,0.062818300545,0.038196736522,0.004640724998,0.019980839025,0.670210773981
40,1.0,-1.25,0.24089055276,0.15231782984,0.01850590456,0.07006681836,0.306474373752,0.19378899256,0.02354445704,0.089140924152,0.057626642451,0.036438276266,0.004427080294,0.016761285891,0.604991568963
41,1.0,-1.0,0.1501173201,0.1060234538,0.0128813542,0.0312125121,0.239932620096,0.169457362048,0.020588277632,0.049886980416,0.043661533713,0.030836858794,0.003746534246,0.009078140673,0.433711473909
42,1.0,-0.833,0.10245057933,0.07727666474,0.00938875366,0.01578516093,0.201360232968,0.151881733792,0.018452920928,0.031025578248,0.035686768719,0.026917737266,0.003270379294,0.005498652159,0.339497581017
43,1.0,-0.75,0.08242083927,0.06403729794,0.00778023246,0.01060330887,0.183875930232,0.142861582432,0.017357014688,0.023657333112,0.032109682584,0.024947486774,0.003031003066,0.004131192744,0.298406452086
44,1.0,-0.667,0.06473724807,0.05168779022,0.00627982498,0.00676963287,0.16747599564,0.133716910464,0.016245979776,0.0175131054,0.028780327149,0.022978906552,0.002791829768,0.003009590829,0.260993570859
45,1.0,-0.5,0.03593812629,0.03007072574,0.00365345266,0.00221394789,0.137641842888,0.115172451136,0.013992914624,0.008476477128,0.022802552577,0.019080162318,0.002318150562,0.001404239697,0.196382521755
46,1.0,-0.333,0.015806307,0.01369514828,0.00166389652,0.0004472622,0.111802745232,0.096870958848,0.011769368832,0.003162417552,0.017735087643,0.015366484,0.001866956,0.000501647643,0.145344139875
47,1.0,-0.25,0.00888211005,0.00779169292,0.00094665428,0.00014376285,0.100355548992,0.088039106944,0.010696340096,0.001620101952,0.01553533737,0.013628735092,0.001655827628,0.00025077465,0.124772996412
48,1.0,-0.167,0.00395979177,0.00350517662,0.00042586258,2.875257e-05,0.08978810064,0.079479074416,0.009656336144,0.00065269008,0.01353705444,0.011982851034,0.001455860406,9.8343e-05,0.10728494685
49,1.0,0.0,0.0,0.0,0.0,0.0,0.07104742272,0.063350618592,0.007696804128,0.0,0.01010066904,0.009006429894,0.001094239146,0.0,0.08114809176
50,1.0,0.167,0.00397196217,0.00351602856,0.00042718104,2.875257e-05,0.055479550896,0.04910971296,0.00596660064,0.000403237296,0.007407602181,0.006557145966,0.000796662594,5.3793621e-05,0.066859115247
51,1.0,0.25,0.00894296205,0.00784595262,0.00095324658,0.00014376285,0.048860302752,0.042863941488,0.005207768592,0.000788592672,0.00633628632,0.00555865856,0.00067535104,0.00010227672,0.064139551122
52,1.0,0.333,0.01594337613,0.01381451962,0.00167839958,0.00045045693,0.042961695984,0.037224069072,0.004522550448,0.001215076464,0.005439229572,0.004712833832,0.000572587288,0.000153808452,0.064344301686
53,1.0,0.5,0.03641718366,0.03047224752,0.00370223568,0.00224270046,0.033241616472,0.027815170448,0.003379413232,0.002047032792,0.004161903858,0.00348251295,0.00042310905,0.000256281858,0.07382070399
54,1.0,0.667,0.06583806075,0.05256679736,0.00638662024,0.00688464315,0.02637774792,0.021060686736,0.002558775024,0.00275828616,0.003600234204,0.00287453467,0.00034924253,0.000376457004,0.095816042874
55,1.0,0.75,0.08398519206,0.06525271522,0.00792789998,0.01080457686,0.024042220152,0.018679609744,0.002269485296,0.003093125112,0.003594399186,0.00279269144,0.00033929896,0.000462408786,0.111621811398
56,1.0,0.833,0.10455332019,0.07886104798,0.00958124882,0.01611102339,0.022439553072,0.016925691424,0.002056392416,0.003457469232,0.003775977828,0.002848144404,0.000346036236,0.000581797188,0.13076885109
57,1.0,1.0,0.1536513,0.1085194,0.0131846,0.0319473,0.02150088,0.01518544,0.00184496,0.00447048,0.00472983,0.00334054,0.00040586,0.00098343,0.17988201
58,1.0,1.25,0.24744370464,0.15646327092,0.01900955628,0.07197087744,0.026111605344,0.016511128912,0.002006025008,0.007594451424,0.007711528881,0.004876186238,0.000592433842,0.002242908801,0.281266838865
59,1.0,1.333,0.28421170008,0.1728171445,0.0209964755,0.09039808008,0.029326902288,0.017832262192,0.002166536528,0.009328103568,0.009136200507,0.00555531802,0.00067494518,0.002905937307,0.322674802875
60,1.0,1.5,0.36701940594,0.20574193046,0.02499668314,0.13628079234,0.038479784328,0.02157091752,0.00262076568,0.014288101128,0.012692920275,0.0071153502,0.0008644818,0.004713088275,0.418192110543
61,1.0,2.0,0.68799925359,0.29925309744,0.03635785296,0.35238830319,0.088764126552,0.0386089812,0.0046908108,0.045464334552,0.029181285609,0.012692715784,0.001542105656,0.014946464169,0.805944665751
62,1.0,2.5,1.12123674102,0.37861333466,0.04599975094,0.69662365542,0.175894569408,0.059394811472,0.007216192048,0.109283565888,0.054953895129,0.018556365646,0.002254511714,0.034143017769,1.35208520556
63,1.0,3.0,1.66704769011,0.44206462784,0.05370878656,1.17127427571,0.301755100896,0.08001967608,0.00972201672,0.212013408096,0.090356340186,0.023960691258,0.002911112022,0.063484536906,2.05915913119
64,1.0,4.0,3.09058530099,0.5299544899,0.0643869941,2.49624381699,0.67201234608,0.115233192896,0.014000294464,0.54277885872,0.190310184477,0.032633401206,0.003964805754,0.153711977517,3.95290783155
65,1.0,6.0,7.22734122858,0.61668319438,0.07492412642,6.53573390778,1.88503232542,0.16084418048,0.01954181632,1.70464632862,0.505494732183,0.043132384372,0.005240383148,0.457121964663,9.61786828618
66,1.5,-6.0,7.55198482302,1.29497285214,0.15733315026,6.09967882062,4.39550811319,0.753717166048,0.091573113632,3.55021783351,0.956037479901,0.163935998338,0.019917457742,0.772184023821,12.9035304161
67,1.5,-4.0,3.41262199575,1.0614825111,0.1289651649,2.22217431975,2.43080542649,0.756093687408,0.091861849872,1.58284988921,0.506465237103,0.157534187482,0.019139667638,0.329791381983,6.34989265934
68,1.5,-3.0,1.9514110638,0.8487844871,0.1031233489,0.9995032278,1.67471695464,0.728433408448,0.088501255232,0.85778229096,0.336518380359,0.146371773072,0.017783486448,0.172363120839,3.9626463988
69,1.5,-2.5,1.37078820681,0.70686281578,0.08588052902,0.57804486201,1.35187621747,0.697111919904,0.084695840736,0.570068456832,0.264949056057,0.136624411406,0.016599227554,0.111725417097,2.98761348034
70,1.5,-2.0,0.88960466793,0.54083898572,0.06570940948,0.28305627273,1.06483135874,0.647368974096,0.078652305264,0.338810079384,0.202119417969,0.122879425522,0.014929275998,0.064310716449,2.15655544464
71,1.5,-1.5,0.50846288196,0.35911239848,0.04363047832,0.10572000516,0.812675211624,0.573968631312,0.069734506608,0.168972073704,0.147885229695,0.10444699391,0.01268982169,0.030748414095,1.46902332328
72,1.5,-1.333,0.40378998759,0.29822216314,0.03623259926,0.06933522519,0.7360975284,0.543652418896,0.066051228464,0.12639388104,0.131672575986,0.09724813021,0.01181519339,0.022609252386,1.27156009198
73,1.5,-1.25,0.35605478832,0.2685312553,0.0326252927,0.05489824032,0.699454259832,0.527517888896,0.064090958464,0.107845412472,0.123970455252,0.09349670379,0.01135941261,0.019114338852,1.1794795034
