,cv,cf,tthtot,thtot,thq,thw,tthhbb,thhbb,hbb,tthhgg,thhgg,hgg,tot
0,0.5,-6.0,15.766281517892399,8.413729809018898,6.821848783384559,1.59188102563434,12.977737479959998,6.925613284809998,19.903350764769996,0.0505308131724,0.026965938518899998,0.07749675169129999,24.1800113269113
1,0.5,-4.0,7.007251244898298,4.025085944448,3.2752881365212794,0.74979780792672,5.767893179069999,3.3131787391999996,9.08107191827,0.022458177558299996,0.012900370048,0.03535854760629999,11.032337189346297
2,0.5,-3.0,3.9415734220731,2.43261533220102,1.98608860043424,0.44652673176678,3.2444343699899996,2.002364702558,5.246799072547999,0.0126327032931,0.0077965143650199995,0.02042921765812,6.374188754274121
3,0.5,-2.5,2.737192772457,1.7868458783772299,1.4625121171843198,0.32433376119291,2.2530671053,1.4708108513669997,3.723877956667,0.008772662657,0.00572682784323,0.01449949050023,4.52403865083423
4,0.5,-2.0,1.7518240722675,1.24137970449819,1.0196111226182398,0.22176858187995002,1.4419806857500002,1.0218199589509998,2.4638006447009997,0.0056145731675,0.003978612876189999,0.00959318604369,2.9932037767656903
5,0.5,-1.5,0.9854015739611999,0.7962227972772901,0.6573902168599199,0.13883258041736998,0.8111159834799999,0.655397072341,1.466513055821,0.0031582046011999995,0.0025518891152899997,0.0057100937164899996,1.78162437123849
6,0.5,-1.333,0.7782030682239,0.6698902237998899,0.5543860031995199,0.11550422060037001,0.64056167131,0.551407583881,1.191969255191,0.0024941252039,0.0021469900778899997,0.00464111528179,1.44809329202379
7,0.5,-1.25,0.6843115874000999,0.6112622261889898,0.5065378852411199,0.10472434094786999,0.5632815582899999,0.5031505342709999,1.0664320925609998,0.0021932232201,0.0019590938469899997,0.004152317067089999,1.2955738135890897
8,0.5,-1.0,0.4379581513098,0.45138007328898,0.3758557030732799,0.07552437021569999,0.36050256241999995,0.37154541844199995,0.732047980862,0.0014036720697999999,0.0014466691249799997,0.00285034119478,0.88933822459878
9,0.5,-0.833,0.30388537835369994,0.3585469145838,0.299794827348,0.0587520872358,0.25014041172999996,0.29513088901999995,0.5452713007499999,0.0009739600936999999,0.0011491374237999998,0.0021230975174999995,0.6624322929375
10,0.5,-0.75,0.24635343609029997,0.31657249966778994,0.2653419673164,0.05123053235139,0.20277899586999998,0.260580814791,0.46335981066099996,0.0007895511502999999,0.0010146114057899998,0.0018041625560899998,0.5629259357580899
11,0.5,-0.667,0.1948432738725,0.27736060988472,0.23310969645744,0.04425091342727999,0.16038432025,0.228305211288,0.388689531538,0.0006244809725,0.00088894138872,0.0015134223612199998,0.47220388375722
12,0.5,-0.5,0.1094731009416,0.20684164119488999,0.17499667797048,0.03184496322441,0.09011085864,0.17025763338099997,0.260368492021,0.0003508604616,0.0006629242328899999,0.00101378469449,0.31631474213648997
13,0.5,-0.333,0.048558934538399996,0.14751186007637995,0.12588374030424,0.02162811977214,0.039970433359999995,0.12142128990199999,0.16139172326199996,0.00015563101839999996,0.00047277243237999996,0.00062840345078,0.19607079461477994
14,0.5,-0.25,0.0273743604354,0.12218573664080998,0.10481983503551998,0.017365901605289998,0.02252771466,0.10057496414899998,0.12310267880899999,8.77151154e-05,0.0003916040628099999,0.00047931917820999995,0.14956009707620999
15,0.5,-0.167,0.012211566378,0.09962604296316,0.08598282210336,0.013643220859799998,0.0100517362,0.082005425964,0.09205716216399999,3.9137978000000004e-05,0.00031930071515999997,0.00035843869316,0.11183760934116
16,0.5,0.0,0.0,0.06261108916947002,0.05481774167544,0.007793347494029999,0.0,0.051536944062999995,0.051536944062999995,0.0,0.00020066700346999997,0.00020066700346999997,0.06261108916947002
17,0.5,0.167,0.012211566378,0.03678569758710001,0.03265274206824,0.00413295551886,0.0100517362,0.03027969659,0.04033143279,3.9137978000000004e-05,0.0001178986471,0.0001570366251,0.048997263965100006
18,0.5,0.25,0.0273743604354,0.02811177025695,0.024984094726319996,0.00312767553063,0.02252771466,0.023139436155,0.045667150815,8.77151154e-05,9.009694694999998e-05,0.00017781206234999998,0.055486130692350005
19,0.5,0.333,0.048558934538399996,0.022205342823659997,0.019540636680959997,0.0026647061427,0.039970433359999995,0.018277783413999996,0.05824821677399999,0.00015563101839999996,7.116735565999998e-05,0.00022679837405999994,0.07076427736206
20,0.5,0.5,0.1094731009416,0.018688791852720002,0.015318894188160001,0.0033698976645600005,0.09011085864,0.015383350488,0.105494209128,0.0003508604616,5.989743671999999e-05,0.00041075789831999997,0.12816189279432
21,0.5,0.667,0.1948432738725,0.02636911820649,0.02010353568,0.006265582526489999,0.16038432025,0.021705199021,0.18208951927099998,0.0006244809725,8.451252448999998e-05,0.0007089934969899999,0.22121239207899
22,0.5,0.75,0.24635343609029997,0.034348082480699996,0.02582844322488,0.008519639255819998,0.20277899586999998,0.028272824029999997,0.23105181989999998,0.0007895511502999999,0.00011008458069999999,0.0008996357309999999,0.28070151857099995
23,0.5,0.833,0.30388537835369994,0.04508754798891,0.0337739399424,0.011313608046510003,0.25014041172999996,0.037113099639,0.28725351136899996,0.0009739600936999999,0.00014450555091,0.0011184656446099998,0.34897292634260996
24,0.5,1.0,0.4379581513098,0.07508168971802998,0.05650643867255999,0.01857525104547,0.36050256241999995,0.06180189968699999,0.42230446210699996,0.0014036720697999999,0.00024063518402999995,0.00164430725383,0.51303984102783
25,0.5,1.25,0.6843115874000999,0.14088703733973001,0.10734828040727998,0.03353875693245,0.5632815582899999,0.11596826061699998,0.679249818907,0.0021932232201,0.00045154022572999996,0.00264476344583,0.82519862473983
