,cv,cf,tthtot,thtot,tthhbb,thhbb,hbb,tthhgg,thhgg,hgg,tot
0,0.5,-6.0,17.594588885286598,9.38941825789476,3.5210049351399997,1.878999256904,5.400004192043999,0.0137095732466,0.00731617206376,0.02102574531036,26.98400714318136
1,0.5,-4.0,7.603957894008301,4.367854837027919,2.68141888707,1.540256847668,4.2216757347380005,0.0104405160783,0.0059972264909199996,0.016437742569220003,11.97181273103622
2,0.5,-3.0,4.1801783797983,2.5798722855626095,2.01031767607,1.240701972169,3.2510196482389997,0.0078274804883,0.0048308635966100005,0.012658344084910001,6.760050665360909
3,0.5,-2.5,2.8623036249225,1.8685052748779098,1.6060604972499999,1.0484294991389997,2.6544899963889996,0.0062534431025,0.00408222120591,0.01033566430841,4.73080889980041
4,0.5,-2.0,1.8039670070498999,1.27834699385739,1.1721211327099998,0.8306039810309999,2.0027251137409996,0.0045638335699,0.0032340841113899996,0.00779791768129,3.0823140009072896
5,0.5,-1.5,0.9991092202277999,0.8073153451593599,0.7401034236199999,0.5980345602439999,1.338137983864,0.0028817062978,0.0023285393683599998,0.005210245666159999,1.8064245653871598
6,0.5,-1.333,0.7851662545715998,0.6758871156107099,0.6045232406399998,0.5203842101589999,1.124907450799,0.0023538040416,0.0020261958097099997,0.00437999985131,1.4610533701823099
7,0.5,-1.25,0.6887992687488,0.6152904022656599,0.53995561752,0.4823328408139999,1.022288458334,0.0021024000888,0.00187803696166,0.00398043705046,1.3040896710144598
8,0.5,-1.0,0.4379581513098,0.45138007328898,0.36050256241999995,0.37154541844199995,0.732047980862,0.0014036720697999999,0.0014466691249799997,0.00285034119478,0.88933822459878
9,0.5,-0.833,0.3027366994905,0.35717338870565996,0.25617145345000003,0.302230498614,0.558401952064,0.0009974428804999998,0.00117678084366,0.00217422372416,0.6599100881961599
10,0.5,-0.75,0.2449758107049,0.31482194951277004,0.20981521121,0.26963321553299996,0.479448426743,0.0008169477349,0.0010498583177699999,0.0018668060526699998,0.55979776021767
11,0.5,-0.667,0.19346082140219997,0.27539325655428,0.16750922738,0.23845968841199996,0.405968915792,0.0006522228921999999,0.0009284794042799998,0.0015807022964799999,0.46885407795647993
12,0.5,-0.5,0.10844209006950001,0.20482883368854,0.09563931355000001,0.180653628166,0.276292941716,0.00037238634949999995,0.0007034026345400001,0.00107578898404,0.31327092375804
13,0.5,-0.333,0.0479964962367,0.14579250839516997,0.04289726243,0.130312609493,0.17320987192299997,0.0001670270767,0.0005073921501699999,0.0006744192268699999,0.19378900463186996
14,0.5,-0.25,0.0270243564657,0.12067888094243998,0.024271986529999998,0.10837198807599999,0.132643974606,9.45067057e-05,0.00042196297243999995,0.00051646967814,0.14770323740813998
15,0.5,-0.167,0.012043832403900001,0.09834861781448999,0.01084996231,0.08861581752099999,0.099465779831,4.22459939e-05,0.00034503928948999995,0.00038728528338999996,0.11039245021838999
16,0.5,0.0,0.0,0.06178408919732999,0.0,0.05582247095699999,0.05582247095699999,0.0,0.00021735336032999996,0.00021735336032999996,0.06178408919732999
17,0.5,0.167,0.012043832403900001,0.03631475833365,0.01084996231,0.032721396784999995,0.043571359095,4.22459939e-05,0.00012740578164999997,0.00016965177554999997,0.04835859073755
18,0.5,0.25,0.0270243564657,0.027768004663469997,0.024271986529999998,0.024936519662999996,0.049208506193,9.45067057e-05,9.709416746999999e-05,0.00019160087317,0.05479236112916999
19,0.5,0.333,0.0479964962367,0.02194308953466,0.04289726243,0.019612853413999997,0.062510115844,0.0001670270767,7.636565565999998e-05,0.00024339273235999997,0.06993958577136
20,0.5,0.5,0.10844209006950001,0.01851278197065,0.09563931355000001,0.016327145285,0.111966458835,0.00037238634949999995,6.357224664999999e-05,0.00043595859615,0.12695487204015002
21,0.5,0.667,0.19346082140219997,0.02618172654368999,0.16750922738,0.022670915200999998,0.19018014258099997,0.0006522228921999999,8.827268868999999e-05,0.0007404955808899999,0.21964254794588997
22,0.5,0.75,0.2449758107049,0.034154275654949995,0.20981521121,0.029252191154999996,0.239067402365,0.0008169477349,0.00011389789694999999,0.00093084563185,0.27913008635985
23,0.5,0.833,0.3027366994905,0.04491574077657,0.25617145345000003,0.038007163952999995,0.29417861740300005,0.0009974428804999998,0.00014798672756999998,0.0011454296080699996,0.34765244026707004
24,0.5,1.0,0.4379581513098,0.07508168971802998,0.36050256241999995,0.06180189968699999,0.42230446210699996,0.0014036720697999999,0.00024063518402999995,0.00164430725383,0.51303984102783
25,0.5,1.25,0.6887992687488,0.14181846914351998,0.53995561752,0.11117318880799998,0.651128806328,0.0021024000888,0.0004328698775199999,0.00253526996632,0.8306177378923201
26,0.5,1.333,0.7851662545715998,0.16978919782544996,0.6045232406399998,0.130725410805,0.7352486514449998,0.0023538040416,0.00050899945545,0.00286280349705,0.9549554523970498
27,0.5,1.5,0.9991092202277999,0.23500399417596,0.7401034236199999,0.17408301178399999,0.9141864354039999,0.0028817062978,0.00067781893096,0.0035595252287599997,1.2341132144037599
28,0.5,2.0,1.8039670070498999,0.50333816787714,1.1721211327099998,0.327043284106,1.4991644168159999,0.0045638335699,0.0012733932331399998,0.00583722680304,2.30730517492704
29,0.5,2.5,2.8623036249225,0.8847659053323901,1.6060604972499999,0.49644756173099996,2.102508058981,0.0062534431025,0.0019329947943899997,0.00818643789689,3.74706953025489
30,0.5,3.0,4.1801783797983,1.38263830003764,2.01031767607,0.664932331756,2.675250007826,0.0078274804883,0.0025890161116399997,0.010416496599940001,5.56281667983594
