,cv,cf,tthtot,thtot,tthhbb,thhbb,hbb,tot
0,0.5,-6.0,17.580879312039997,9.382102085831,3.5210049351399997,1.878999256904,5.400004192043999,26.962981397870998
1,0.5,-4.0,7.5935173779300005,4.361857610537,2.68141888707,1.540256847668,4.2216757347380005,11.955374988467
2,0.5,-3.0,4.1723508993100005,2.5750414219659996,2.01031767607,1.240701972169,3.2510196482389997,6.747392321276
3,0.5,-2.5,2.8560501818199997,1.864423053672,1.6060604972499999,1.0484294991389997,2.6544899963889996,4.720473235491999
4,0.5,-2.0,1.7994031734799998,1.275112909746,1.1721211327099998,0.8306039810309999,2.0027251137409996,3.0745160832259995
5,0.5,-1.5,0.9962275139299999,0.8049868057909998,0.7401034236199999,0.5980345602439999,1.338137983864,1.8012143197209998
6,0.5,-1.333,0.7828124505299998,0.6738609198009999,0.6045232406399998,0.5203842101589999,1.124907450799,1.4566733703309998
7,0.5,-1.25,0.68669686866,0.6134123653039999,0.53995561752,0.4823328408139999,1.022288458334,1.300109233964
8,0.5,-1.0,0.43655447923999996,0.44993340416399996,0.36050256241999995,0.37154541844199995,0.732047980862,0.886487883404
9,0.5,-0.833,0.30173925661,0.355996607862,0.25617145345000003,0.302230498614,0.558401952064,0.6577358644719999
10,0.5,-0.75,0.24415886297,0.313772091195,0.20981521121,0.26963321553299996,0.479448426743,0.5579309541649999
11,0.5,-0.667,0.19280859850999998,0.27446477714999995,0.16750922738,0.23845968841199996,0.405968915792,0.46727337565999993
12,0.5,-0.5,0.10806970372000001,0.204125431054,0.09563931355000001,0.180653628166,0.276292941716,0.312195134774
13,0.5,-0.333,0.04782946916,0.14528511624499996,0.04289726243,0.130312609493,0.17320987192299997,0.19311458540499996
14,0.5,-0.25,0.02692984976,0.12025691796999997,0.024271986529999998,0.10837198807599999,0.132643974606,0.14718676772999997
15,0.5,-0.167,0.01200158641,0.098003578525,0.01084996231,0.08861581752099999,0.099465779831,0.110005164935
16,0.5,0.0,0.0,0.061566735836999995,0.0,0.05582247095699999,0.05582247095699999,0.061566735836999995
17,0.5,0.167,0.01200158641,0.036187352552,0.01084996231,0.032721396784999995,0.043571359095,0.048188938962
18,0.5,0.25,0.02692984976,0.027670910495999998,0.024271986529999998,0.024936519662999996,0.049208506193,0.054600760256
19,0.5,0.333,0.04782946916,0.021866723879,0.04289726243,0.019612853413999997,0.062510115844,0.069696193039
20,0.5,0.5,0.10806970372000001,0.018449209724,0.09563931355000001,0.016327145285,0.111966458835,0.12651891344400001
21,0.5,0.667,0.19280859850999998,0.026093453854999994,0.16750922738,0.022670915200999998,0.19018014258099997,0.218902052365
22,0.5,0.75,0.24415886297,0.03404037775799999,0.20981521121,0.029252191154999996,0.239067402365,0.278199240728
23,0.5,0.833,0.30173925661,0.044767754049,0.25617145345000003,0.038007163952999995,0.29417861740300005,0.346507010659
24,0.5,1.0,0.43655447923999996,0.07484105453399999,0.36050256241999995,0.06180189968699999,0.42230446210699996,0.5113955337739999
25,0.5,1.25,0.68669686866,0.14138559926599997,0.53995561752,0.11117318880799998,0.651128806328,0.8280824679259999
26,0.5,1.333,0.7828124505299998,0.16928019836999997,0.6045232406399998,0.130725410805,0.7352486514449998,0.9520926488999998
27,0.5,1.5,0.9962275139299999,0.234326175245,0.7401034236199999,0.17408301178399999,0.9141864354039999,1.2305536891749997
28,0.5,2.0,1.7994031734799998,0.502064774644,1.1721211327099998,0.327043284106,1.4991644168159999,2.301467948124
29,0.5,2.5,2.8560501818199997,0.882832910538,1.6060604972499999,0.49644756173099996,2.102508058981,3.738883092358
30,0.5,3.0,4.1723508993100005,1.3800492839260001,2.01031767607,0.664932331756,2.675250007826,5.552400183236001
31,0.5,4.0,7.5935173779300005,2.7307238910900002,2.68141888707,0.964272418395,3.645691305465,10.32424126902
32,0.5,6.0,17.580879312039997,6.864448551102001,3.5210049351399997,1.374775825401,4.895780760541,24.445327863141998
33,1.0,-6.0,17.61934173142,10.874116094673997,3.32322224344,2.050988035327,5.374210278767,28.493457826093998
34,1.0,-4.0,7.64203924143,5.415373145276001,2.4332592586499997,1.7242836123919996,4.157542871042,13.057412386706002
35,1.0,-3.0,4.21949000253,3.409471296743,1.76975597766,1.4300159102569998,3.1997718879169996,7.628961299273
36,1.0,-2.5,2.8986609327499995,2.5892649457809997,1.3888838674699997,1.2406336387389998,2.6295175062089995,5.487925878531
37,1.0,-2.0,1.83421371221,1.890467356932,0.99473755271,1.0252488617909998,2.019986414501,3.724681069142
38,1.0,-1.5,1.02047465256,1.3113725230289999,0.6166740158699999,0.792464339073,1.4091383549429999,2.331847175589
39,1.0,-1.333,0.80318904699,1.144114477261,0.50084253813,0.7134319845729999,1.2142745227029998,1.947303524251
40,1.0,-1.25,0.7051413126999999,1.0657729946,0.44614926763,0.6743219647669999,1.120471232397,1.7709143073
41,1.0,-1.0,0.4492906,0.8487832545839998,0.2956393,0.5585108774519999,0.854150177452,1.2980738545839998
42,1.0,-0.833,0.31095331432,0.7194737635330001,0.20916480475,0.483957517813,0.693122322563,1.030427077853
43,1.0,-0.75,0.25178701614,0.6597962830330001,0.17099777112,0.44809470481599994,0.6190924759359999,0.9115832991730001
44,1.0,-0.667,0.19894765252999996,0.603135921545,0.13628971729999997,0.413180730149,0.549470447449,0.8020835740749999
45,1.0,-0.5,0.11160662480000001,0.498179958597,0.07757575232000001,0.34627582796399997,0.423851580284,0.609786583397
46,1.0,-0.333,0.04945315265,0.4051640458379999,0.03473761775,0.284595912282,0.31933353003199993,0.4546171984879999
