cf,twosigdown,onesigdown,exp,onesigup,twosigup
-3.00,0.2517,0.3511,0.5239,0.8066,1.2110
-2.00,0.4118,0.5747,0.8579,1.3226,1.9870
-1.50,0.5523,0.7713,1.1519,1.7757,2.6704
-1.25,0.6513,0.9096,1.3584,2.0955,3.1518
-1.00,0.7746,1.0824,1.6172,2.4963,3.7554
-0.75,0.9416,1.3164,1.9678,3.0374,4.5724
-0.50,1.1636,1.6255,2.4316,3.7559,5.6586
-0.25,1.4686,2.0535,3.0723,4.7485,7.1553
0.00,1.8896,2.6437,3.9570,6.1199,9.2293
0.25,2.4922,3.4853,5.2188,8.0738,12.1810
0.50,3.3969,4.7506,7.1133,11.0084,16.6151
0.75,4.7112,6.5875,9.8555,15.2423,22.9724
1.00,6.5210,9.1013,13.5859,20.9441,31.4865
1.25,8.2457,11.4645,17.0234,26.0907,38.9909
1.50,8.6499,11.9788,17.6797,26.8851,39.8639
2.00,5.4787,7.5600,11.1094,16.8052,24.7879
3.00,1.6629,2.3008,3.3955,5.1601,7.6468
