cv,ct,ttHww,ttHzz,ttHtt,tHqww,tHqzz,tHqtt,tHWww,tHWzz,tHWtt
0.5,-6.0,2.2032,2.2032,8.8130,6.8127,6.8127,27.2506,7.2266,7.2266,28.9065
0.5,-4.0,1.7862,1.7862,7.1449,5.9665,5.9665,23.8659,6.2090,6.2090,24.8361
0.5,-3.0,1.4150,1.4150,5.6598,5.0951,5.0951,20.3804,5.2073,5.2073,20.8292
0.5,-2.5,1.1713,1.1713,4.6854,4.4726,4.4726,17.8903,4.5088,4.5088,18.0352
0.5,-2.0,0.8902,0.8902,3.5609,3.7028,3.7028,14.8112,3.6611,3.6611,14.6442
0.5,-1.5,0.5870,0.5870,2.3480,2.7985,2.7985,11.1941,2.6866,2.6866,10.7465
0.5,-1.333,0.4864,0.4864,1.9456,2.4762,2.4762,9.9049,2.3452,2.3452,9.3810
0.5,-1.25,0.4375,0.4375,1.7500,2.3144,2.3144,9.2574,2.1751,2.1751,8.7004
0.5,-1.0,0.2980,0.2980,1.1921,1.8279,1.8279,7.3114,1.6696,1.6696,6.6785
0.5,-0.833,0.2144,0.2144,0.8576,1.5116,1.5116,6.0462,1.3466,1.3466,5.3864
0.5,-0.75,0.1766,0.1766,0.7065,1.3595,1.3595,5.4380,1.1932,1.1932,4.7728
0.5,-0.667,0.1418,0.1418,0.5671,1.2121,1.2121,4.8483,1.0459,1.0459,4.1836
0.5,-0.5,0.0817,0.0817,0.3268,0.9332,0.9332,3.7328,0.7720,0.7720,3.0879
0.5,-0.333,0.0369,0.0369,0.1478,0.6843,0.6843,2.7371,0.5344,0.5344,2.1378
0.5,-0.25,0.0210,0.0210,0.0839,0.5739,0.5739,2.2955,0.4322,0.4322,1.7287
0.5,-0.167,0.0094,0.0094,0.0376,0.4733,0.4733,1.8933,0.3414,0.3414,1.3656
0.5,0.0,0.0000,0.0000,0.0000,0.3035,0.3035,1.2142,0.1962,0.1962,0.7847
0.5,0.167,0.0095,0.0095,0.0378,0.1806,0.1806,0.7225,0.1039,0.1039,0.4157
0.5,0.25,0.0211,0.0211,0.0845,0.1378,0.1378,0.5512,0.0784,0.0784,0.3137
0.5,0.333,0.0373,0.0373,0.1492,0.1073,0.1073,0.4290,0.0665,0.0665,0.2659
0.5,0.5,0.0829,0.0829,0.3316,0.0829,0.0829,0.3316,0.0829,0.0829,0.3316
0.5,0.667,0.1444,0.1444,0.5778,0.1065,0.1065,0.4260,0.1509,0.1509,0.6036
0.5,0.75,0.1803,0.1803,0.7213,0.1351,0.1351,0.5405,0.2026,0.2026,0.8104
0.5,0.833,0.2193,0.2193,0.8774,0.1742,0.1742,0.6969,0.2653,0.2653,1.0612
0.5,1.0,0.3060,0.3060,1.2241,0.2821,0.2821,1.1286,0.4217,0.4217,1.6866
0.5,1.25,0.4513,0.4513,1.8053,0.5060,0.5060,2.0239,0.7186,0.7186,2.8744
0.5,1.333,0.5024,0.5024,2.0097,0.5938,0.5938,2.3751,0.8304,0.8304,3.3216
