cv,ct,ttHww,ttHzz,ttHtt,tHqww,tHqzz,tHqtt,tHWww,tHWzz,tHWtt
0.5,1.5,0.6078,0.6078,2.4312,0.7862,0.7862,3.1449,1.0702,1.0702,4.2808
0.5,2.0,0.9263,0.9263,3.7052,1.4394,1.4394,5.7575,1.8530,1.8530,7.4119
0.5,2.5,1.2214,1.2214,4.8857,2.1178,2.1178,8.4714,2.6377,2.6377,10.5509
0.5,3.0,1.4759,1.4759,5.9035,2.7509,2.7509,11.0034,3.3533,3.3533,13.4133
0.5,4.0,1.8589,1.8589,7.4354,3.7875,3.7875,15.1499,4.4985,4.4985,17.9938
0.5,6.0,2.2764,2.2764,9.1056,5.0618,5.0618,20.2471,5.8639,5.8639,23.4555
1.0,-6.0,8.4231,8.4231,8.4231,30.3307,30.3307,30.3307,30.9986,30.9986,30.9986
1.0,-4.0,6.5933,6.5933,6.5933,27.4238,27.4238,27.4238,27.1147,27.1147,27.1147
1.0,-3.0,5.0657,5.0657,5.0657,24.1511,24.1511,24.1511,23.1853,23.1853,23.1853
1.0,-2.5,4.1118,4.1118,4.1118,21.7512,21.7512,21.7512,20.4423,20.4423,20.4423
1.0,-2.0,3.0559,3.0559,3.0559,18.7419,18.7419,18.7419,17.1195,17.1195,17.1195
1.0,-1.5,1.9677,1.9677,1.9677,15.1457,15.1457,15.1457,13.2932,13.2932,13.2932
1.0,-1.333,1.6178,1.6178,1.6178,13.8413,13.8413,13.8413,11.9426,11.9426,11.9426
1.0,-1.25,1.4497,1.4497,1.4497,13.1799,13.1799,13.1799,11.2656,11.2656,11.2656
1.0,-1.0,0.9769,0.9769,0.9769,11.1587,11.1587,11.1587,9.2306,9.2306,9.2306
1.0,-0.833,0.6983,0.6983,0.6983,9.8074,9.8074,9.8074,7.9013,7.9013,7.9013
1.0,-0.75,0.5735,0.5735,0.5735,9.1433,9.1433,9.1433,7.2581,7.2581,7.2581
1.0,-0.667,0.4591,0.4591,0.4591,8.4878,8.4878,8.4878,6.6306,6.6306,6.6306
1.0,-0.5,0.2633,0.2633,0.2633,7.2071,7.2071,7.2071,5.4275,5.4275,5.4275
1.0,-0.333,0.1186,0.1186,0.1186,5.9971,5.9971,5.9971,4.3245,4.3245,4.3245
1.0,-0.25,0.0673,0.0673,0.0673,5.4294,5.4294,5.4294,3.8206,3.8206,3.8206
1.0,-0.167,0.0301,0.0301,0.0301,4.8876,4.8876,4.8876,3.3498,3.3498,3.3498
1.0,0.0,0.0000,0.0000,0.0000,3.8865,3.8865,3.8865,2.5117,2.5117,2.5117
1.0,0.167,0.0303,0.0303,0.0303,3.0191,3.0191,3.0191,1.8325,1.8325,1.8325
1.0,0.25,0.0677,0.0677,0.0677,2.6423,2.6423,2.6423,1.5576,1.5576,1.5576
1.0,0.333,0.1196,0.1196,0.1196,2.3033,2.3033,2.3033,1.3256,1.3256,1.3256
1.0,0.5,0.2667,0.2667,0.2667,1.7394,1.7394,1.7394,0.9900,0.9900,0.9900
1.0,0.667,0.4667,0.4667,0.4667,1.3360,1.3360,1.3360,0.8289,0.8289,0.8289
1.0,0.75,0.5841,0.5841,0.5841,1.1950,1.1950,1.1950,0.8121,0.8121,0.8121
1.0,0.833,0.7124,0.7124,0.7124,1.0926,1.0926,1.0926,0.8358,0.8358,0.8358
1.0,1.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0,1.25,1.4905,1.4905,1.4905,1.1240,1.1240,1.1240,1.5090,1.5090,1.5090
1.0,1.333,1.6655,1.6655,1.6655,1.2281,1.2281,1.2281,1.7392,1.7392,1.7392
1.0,1.5,2.0305,2.0305,2.0305,1.5213,1.5213,1.5213,2.2812,2.2812,2.2812
1.0,2.0,3.1702,3.1702,3.1702,2.9229,2.9229,2.9229,4.3682,4.3682,4.3682
1.0,2.5,4.2779,4.2779,4.2779,4.7958,4.7958,4.7958,6.8112,6.8112,6.8112
1.0,3.0,5.2759,5.2759,5.2759,6.8247,6.8247,6.8247,9.2897,9.2897,9.2897
1.0,4.0,6.8601,6.8601,6.8601,10.6597,10.6597,10.6597,13.7227,13.7227,13.7227
1.0,6.0,8.7117,8.7117,8.7117,16.2376,16.2376,16.2376,19.7939,19.7939,19.7939
1.5,-6.0,17.6639,17.6639,7.8506,73.4707,73.4707,32.6537,72.6425,72.6425,32.2856
1.5,-4.0,13.1547,13.1547,5.8465,66.9610,66.9610,29.7604,63.4209,63.4209,28.1870
1.5,-3.0,9.7088,9.7088,4.3150,59.5440,59.5440,26.4640,54.3897,54.3897,24.1732
1.5,-2.5,7.6901,7.6901,3.4178,54.1971,54.1971,24.0876,48.2850,48.2850,21.4600
1.5,-2.0,5.5653,5.5653,2.4735,47.6047,47.6047,21.1577,41.0760,41.0760,18.2560
1.5,-1.5,3.4883,3.4883,1.5504,39.8436,39.8436,17.7083,32.9592,32.9592,14.6485
1.5,-1.333,2.8435,2.8435,1.2638,37.0436,37.0436,16.4638,30.1221,30.1221,13.3876
1.5,-1.25,2.5376,2.5376,1.1278,35.6240,35.6240,15.8329,28.7019,28.7019,12.7564
1.5,-1.0,1.6905,1.6905,0.7513,31.2743,31.2743,13.8997,24.4294,24.4294,10.8575
1.5,-0.833,1.2001,1.2001,0.5334,28.3445,28.3445,12.5976,21.6214,21.6214,9.6095
1.5,-0.75,0.9827,0.9827,0.4368,26.8935,26.8935,11.9527,20.2530,20.2530,9.0013
1.5,-0.667,0.7844,0.7844,0.3486,25.4518,25.4518,11.3119,18.9088,18.9088,8.4039
1.5,-0.5,0.4478,0.4478,0.1990,22.5976,22.5976,10.0434,16.2965,16.2965,7.2429
1.5,-0.333,0.2010,0.2010,0.0893,19.8373,19.8373,8.8166,13.8387,13.8387,6.1505
1.5,-0.25,0.1138,0.1138,0.0506,18.5121,18.5121,8.2276,12.6860,12.6860,5.6382
1.5,-0.167,0.0509,0.0509,0.0226,17.2238,17.2238,7.6550,11.5846,11.5846,5.1487
1.5,0.0,0.0000,0.0000,0.0000,14.7610,14.7610,6.5605,9.5394,9.5394,4.2398
1.5,0.167,0.0511,0.0511,0.0227,12.4979,12.4979,5.5546,7.7454,7.7454,3.4424
1.5,0.25,0.1144,0.1144,0.0508,11.4561,11.4561,5.0916,6.9543,6.9543,3.0908
1.5,0.333,0.2023,0.2023,0.0899,10.4735,10.4735,4.6549,6.2327,6.2327,2.7701
1.5,0.5,0.4523,0.4523,0.2010,8.6854,8.6854,3.8602,4.9982,4.9982,2.2214
1.5,0.667,0.7949,0.7949,0.3533,7.1619,7.1619,3.1831,4.0593,4.0593,1.8041
1.5,0.75,0.9974,0.9974,0.4433,6.5061,6.5061,2.8916,3.7031,3.7031,1.6458
1.5,0.833,1.2199,1.2199,0.5422,5.9181,5.9181,2.6303,3.4195,3.4195,1.5198
1.5,1.0,1.7233,1.7233,0.7659,4.9407,4.9407,2.1958,3.0645,3.0645,1.3620
1.5,1.25,2.5969,2.5969,1.1542,3.9788,3.9788,1.7683,3.0451,3.0451,1.3534
1.5,1.333,2.9134,2.9134,1.2949,3.7870,3.7870,1.6831,3.1653,3.1653,1.4068
1.5,1.5,3.5821,3.5821,1.5920,3.5821,3.5821,1.5920,3.5821,3.5821,1.5920
1.5,2.0,5.7452,5.7452,2.5534,4.2363,4.2363,1.8828,6.0004,6.0004,2.6668
1.5,2.5,7.9658,7.9658,3.5403,6.3286,6.3286,2.8127,9.6371,9.6371,4.2831
1.5,3.0,10.0757,10.0757,4.4781,9.2898,9.2898,4.1288,13.8831,13.8831,6.1703
1.5,4.0,13.6602,13.6602,6.0712,16.1467,16.1467,7.1763,22.5802,22.5802,10.0356
1.5,6.0,18.2691,18.2691,8.1196,28.3878,28.3878,12.6168,36.5450,36.5450,16.2422
