cv,ct,ttHww,ttHzz,ttHtt,tHqww,tHqzz,tHqtt,tHWww,tHWzz,tHWtt
1.0,1.25,1.5625,1.5625,1.5625,1.1783,1.1783,1.1783,1.5819,1.5819,1.5819
1.0,1.333,1.7769,1.7769,1.7769,1.3103,1.3103,1.3103,1.8556,1.8556,1.8556
1.0,1.5,2.2500,2.2500,2.2500,1.6857,1.6857,1.6857,2.5278,2.5278,2.5278
1.0,2.0,4.0000,4.0000,4.0000,3.6880,3.6880,3.6880,5.5115,5.5115,5.5115
1.0,2.5,6.2500,6.2500,6.2500,7.0068,7.0068,7.0068,9.9512,9.9512,9.9512
1.0,3.0,9.0000,9.0000,9.0000,11.6420,11.6420,11.6420,15.8468,15.8468,15.8468
1.0,4.0,16.0000,16.0000,16.0000,24.8620,24.8620,24.8620,32.0060,32.0060,32.0060
1.0,6.0,36.0000,36.0000,36.0000,67.1000,67.1000,67.1000,81.7958,81.7958,81.7958
1.5,-6.0,62.3156,62.3156,27.6958,259.1938,259.1938,115.1972,256.2719,256.2719,113.8986
1.5,-4.0,27.6958,27.6958,12.3092,140.9794,140.9794,62.6575,133.5260,133.5260,59.3449
1.5,-3.0,15.5789,15.5789,6.9240,95.5453,95.5453,42.4646,87.2745,87.2745,38.7887
1.5,-2.5,10.8187,10.8187,4.8083,76.2465,76.2465,33.8874,67.9291,67.9291,30.1907
1.5,-2.0,6.9240,6.9240,3.0773,59.2266,59.2266,26.3229,51.1040,51.1040,22.7129
1.5,-1.5,3.8947,3.8947,1.7310,44.4855,44.4855,19.7713,36.7991,36.7991,16.3551
1.5,-1.333,3.0758,3.0758,1.3670,40.0697,40.0697,17.8087,32.5827,32.5827,14.4812
1.5,-1.25,2.7047,2.7047,1.2021,37.9695,37.9695,16.8754,30.5917,30.5917,13.5963
1.5,-1.0,1.7310,1.7310,0.7693,32.0233,32.0233,14.2326,25.0144,25.0144,11.1175
1.5,-0.833,1.2011,1.2011,0.5338,28.3686,28.3686,12.6082,21.6398,21.6398,9.6177
1.5,-0.75,0.9737,0.9737,0.4327,26.6467,26.6467,11.8430,20.0672,20.0672,8.9187
1.5,-0.667,0.7701,0.7701,0.3423,24.9877,24.9877,11.1056,18.5640,18.5640,8.2507
