cv,ct,ttHww,ttHzz,ttHtt,tHqww,tHqzz,tHqtt,tHWww,tHWzz,tHWtt
0.5,-6.0,1.4315,1.4315,206.1315,4.4262,4.4262,637.3787,4.6952,4.6952,676.1090
0.5,-4.0,1.2566,1.2566,80.4220,4.1974,4.1974,268.6322,4.3680,4.3680,279.5526
0.5,-3.0,1.0747,1.0747,38.6909,3.8700,3.8700,139.3216,3.9553,3.9553,142.3894
0.5,-2.5,0.9389,0.9389,23.4715,3.5849,3.5849,89.6217,3.6139,3.6139,90.3476
0.5,-2.0,0.7622,0.7622,12.1947,3.1701,3.1701,50.7224,3.1344,3.1344,50.1506
0.5,-1.5,0.5425,0.5425,4.8824,2.5863,2.5863,23.2770,2.4829,2.4829,22.3462
0.5,-1.333,0.4617,0.4617,3.2815,2.3505,2.3505,16.7063,2.2262,2.2262,15.8226
0.5,-1.25,0.4208,0.4208,2.6302,2.2262,2.2262,13.9136,2.0922,2.0922,13.0764
0.5,-1.0,0.2980,0.2980,1.1922,1.8279,1.8279,7.3117,1.6697,1.6697,6.6788
0.5,-0.833,0.2196,0.2196,0.6096,1.5485,1.5485,4.2979,1.3795,1.3795,3.8288
0.5,-0.75,0.1830,0.1830,0.4116,1.4082,1.4082,3.1685,1.2360,1.2360,2.7810
0.5,-0.667,0.1484,0.1484,0.2640,1.2686,1.2686,2.2575,1.0947,1.0947,1.9481
0.5,-0.5,0.0871,0.0871,0.0871,0.9946,0.9946,0.9946,0.8228,0.8228,0.8228
0.5,-0.333,0.0399,0.0399,0.0177,0.7394,0.7394,0.3280,0.5775,0.5775,0.2562
0.5,-0.25,0.0228,0.0228,0.0057,0.6232,0.6232,0.1558,0.4693,0.4693,0.1173
0.5,-0.167,0.0103,0.0103,0.0011,0.5159,0.5159,0.0576,0.3721,0.3721,0.0415
0.5,0.0,0.0000,0.0000,0.0000,0.3319,0.3319,0.0000,0.2145,0.2145,0.0000
0.5,0.167,0.0103,0.0103,0.0012,0.1970,0.1970,0.0220,0.1133,0.1133,0.0126
0.5,0.25,0.0230,0.0230,0.0057,0.1497,0.1497,0.0374,0.0852,0.0852,0.0213
0.5,0.333,0.0403,0.0403,0.0179,0.1160,0.1160,0.0514,0.0719,0.0719,0.0319
0.5,0.5,0.0884,0.0884,0.0884,0.0884,0.0884,0.0884,0.0884,0.0884,0.0884
0.5,0.667,0.1513,0.1513,0.2693,0.1116,0.1116,0.1985,0.1581,0.1581,0.2813
0.5,0.75,0.1869,0.1869,0.4206,0.1401,0.1401,0.3151,0.2100,0.2100,0.4725
0.5,0.833,0.2248,0.2248,0.6240,0.1786,0.1786,0.4956,0.2719,0.2719,0.7547
0.5,1.0,0.3060,0.3060,1.2241,0.2821,0.2821,1.1286,0.4217,0.4217,1.6866
0.5,1.25,0.4336,0.4336,2.7100,0.4861,0.4861,3.0381,0.6904,0.6904,4.3148
0.5,1.333,0.4761,0.4761,3.3839,0.5627,0.5627,3.9991,0.7869,0.7869,5.5928
0.5,1.5,0.5602,0.5602,5.0417,0.7246,0.7246,6.5217,0.9864,0.9864,8.8773
0.5,2.0,0.7884,0.7884,12.6148,1.2251,1.2251,19.6018,1.5771,1.5771,25.2343
0.5,2.5,0.9707,0.9707,24.2679,1.6831,1.6831,42.0786,2.0963,2.0963,52.4079
0.5,3.0,1.1095,1.1095,39.9413,2.0679,2.0679,74.4461,2.5209,2.5209,90.7507
0.5,4.0,1.2921,1.2921,82.6920,2.6326,2.6326,168.4876,3.1268,3.1268,200.1159
0.5,6.0,1.4619,1.4619,210.5204,3.2508,3.2508,468.1126,3.7659,3.7659,542.2903
